id         ,object_id,object_name                      ,time_seconds,left         ,top           ,right      ,bottom
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.04       ,0.8640309    ,0.26593268    ,0.99927205 ,0.8666484
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.16       ,0.8622513    ,0.24912357    ,0.9986746  ,0.8745634
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.28       ,0.861958     ,0.24206187    ,0.9985017  ,0.8724423
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.4        ,0.862097     ,0.24243402    ,0.9988539  ,0.8575558
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.52       ,0.86266845   ,0.24236713    ,0.9992128  ,0.83908087
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.64       ,0.86713874   ,0.22745228    ,0.99881196 ,0.8312066
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.76       ,0.8652718    ,0.22388588    ,1.0        ,0.8180122
c2B1ghS1fOE,6be076b3 ,shorts                           ,95.88       ,0.8668889    ,0.21152218    ,0.99924755 ,0.7942752
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.0        ,0.867813     ,0.20175359    ,0.9990841  ,0.782143
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.12       ,0.86159515   ,0.18882951    ,1.0        ,0.7755681
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.24       ,0.84799993   ,0.192257      ,1.0        ,0.7596222
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.36       ,0.839378     ,0.19642812    ,1.0        ,0.749121
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.48       ,0.8379879    ,0.1953716     ,0.9985664  ,0.7436826
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.6        ,0.83844376   ,0.18469378    ,0.996156   ,0.74235964
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.72       ,0.8195948    ,0.17588486    ,0.99835503 ,0.73771036
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.84       ,0.7691019    ,0.09287345    ,1.0        ,0.806121
c2B1ghS1fOE,6be076b3 ,shorts                           ,96.96       ,0.7960629    ,0.16374771    ,0.98255044 ,0.7374982
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,94.56       ,0.79871136   ,0.24640654    ,0.9124592  ,0.6924167
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,94.68       ,0.7614755    ,0.25179622    ,0.9132314  ,0.67315286
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,94.8        ,0.76908225   ,0.24480808    ,0.90956235 ,0.6661107
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,94.92       ,0.7500177    ,0.2458275     ,0.90245175 ,0.6601869
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,95.04       ,0.7434473    ,0.23063484    ,0.8957975  ,0.64455736
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,95.16       ,0.7391611    ,0.20373248    ,0.8915053  ,0.6176238
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,95.28       ,0.7330925    ,0.1756546     ,0.89605606 ,0.59420115
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,95.4        ,0.7236952    ,0.1463845     ,0.894665   ,0.5764339
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,95.52       ,0.7165245    ,0.13700704    ,0.8903788  ,0.5627482
c2B1ghS1fOE,920d6da8 ,luggage & bags                   ,95.64       ,0.70992404   ,0.13351405    ,0.88953125 ,0.5576454
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,94.56       ,0.25908697   ,0.60650474    ,0.39548796 ,0.9457516
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,94.68       ,0.26495922   ,0.6108127     ,0.39204273 ,0.94154036
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,94.8        ,0.25347555   ,0.57280016    ,0.3922965  ,0.9546126
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,94.92       ,0.24260068   ,0.5425282     ,0.39539605 ,0.9610932
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.04       ,0.23721358   ,0.53546345    ,0.39381117 ,0.96151614
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.16       ,0.24280557   ,0.5378398     ,0.38973635 ,0.95655525
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.28       ,0.24554384   ,0.5532839     ,0.3903331  ,0.95379937
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.4        ,0.24480715   ,0.5530016     ,0.3893567  ,0.9530381
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.52       ,0.24299082   ,0.55527776    ,0.38752338 ,0.9552804
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.64       ,0.24145827   ,0.5524679     ,0.3892153  ,0.97354674
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.76       ,0.24029578   ,0.5551374     ,0.38795936 ,0.9759886
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,95.88       ,0.2381398    ,0.54702604    ,0.3832394  ,0.9796194
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.0        ,0.23689336   ,0.5451712     ,0.38219047 ,0.97716254
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.12       ,0.23938422   ,0.5471137     ,0.38024402 ,0.96714616
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.24       ,0.23928699   ,0.55457145    ,0.38292715 ,0.9521294
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.36       ,0.23845242   ,0.5456236     ,0.38673955 ,0.9469284
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.48       ,0.24126409   ,0.5349724     ,0.38799548 ,0.942017
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.6        ,0.24286132   ,0.52631736    ,0.38935503 ,0.94268686
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.72       ,0.24393359   ,0.51998335    ,0.39007092 ,0.93761885
c2B1ghS1fOE,a85907d4 ,packaged goods                   ,96.84       ,0.24264178   ,0.501045      ,0.39094722 ,0.94070435
c2B1ghS1fOE,33cef74e ,packaged goods                   ,94.8        ,0.6881922    ,0.8830446     ,0.8773087  ,0.99816567
c2B1ghS1fOE,c8a7365f ,luggage & bags                   ,94.92       ,0.23638046   ,0.14887068    ,0.33016354 ,0.28212383
c2B1ghS1fOE,365b987a ,hat                              ,95.4        ,0.19077814   ,0.022971071   ,0.28789032 ,0.15844601
c2B1ghS1fOE,365b987a ,hat                              ,95.52       ,0.18115905   ,0.007211185   ,0.27885056 ,0.11882341
c2B1ghS1fOE,365b987a ,hat                              ,95.64       ,0.1536654    ,0.0062603243  ,0.2671937  ,0.10479477
c2B1ghS1fOE,365b987a ,hat                              ,95.76       ,0.15027684   ,0.006963184   ,0.25563574 ,0.10242439
c2B1ghS1fOE,365b987a ,hat                              ,95.88       ,0.14550519   ,0.0051103905  ,0.25096625 ,0.10091763
c2B1ghS1fOE,365b987a ,hat                              ,96.0        ,0.13471578   ,0.0044459635  ,0.24572492 ,0.091890976
c2B1ghS1fOE,365b987a ,hat                              ,96.12       ,0.12002316   ,0.002048518   ,0.24983631 ,0.08164083
c2B1ghS1fOE,b6e01678 ,belt                             ,95.4        ,0.903755     ,0.22340354    ,1.0        ,0.34939024
c2B1ghS1fOE,b6e01678 ,belt                             ,95.52       ,0.9049229    ,0.21484518    ,0.9984169  ,0.34119102
c2B1ghS1fOE,b6e01678 ,belt                             ,95.64       ,0.9062186    ,0.20850167    ,0.9999503  ,0.3348875
c2B1ghS1fOE,b6e01678 ,belt                             ,95.76       ,0.90812486   ,0.2043891     ,0.99963427 ,0.32822734
c2B1ghS1fOE,b6e01678 ,belt                             ,95.88       ,0.90819156   ,0.19564612    ,0.9996052  ,0.31927344
c2B1ghS1fOE,b6e01678 ,belt                             ,96.0        ,0.90368664   ,0.18415882    ,1.0        ,0.31124765
c2B1ghS1fOE,b6e01678 ,belt                             ,96.12       ,0.89692616   ,0.17499645    ,1.0        ,0.30935788
c2B1ghS1fOE,c1c6598e ,shorts                           ,95.52       ,0.73966646   ,0.48211777    ,0.87238294 ,0.8832184
c2B1ghS1fOE,5af480b0 ,bag                              ,95.64       ,0.7069694    ,0.16515617    ,0.88500196 ,0.56189615
c2B1ghS1fOE,5af480b0 ,bag                              ,95.76       ,0.7111705    ,0.12610976    ,0.8853868  ,0.5773054
c2B1ghS1fOE,5af480b0 ,bag                              ,95.88       ,0.7102354    ,0.13957322    ,0.8789506  ,0.580762
c2B1ghS1fOE,5af480b0 ,bag                              ,96.0        ,0.71306837   ,0.1477243     ,0.87258327 ,0.57552123
c2B1ghS1fOE,5af480b0 ,bag                              ,96.12       ,0.70426047   ,0.15636212    ,0.86607796 ,0.5757097
c2B1ghS1fOE,5af480b0 ,bag                              ,96.24       ,0.7021137    ,0.15846746    ,0.86000156 ,0.57858497
c2B1ghS1fOE,5af480b0 ,bag                              ,96.36       ,0.70230806   ,0.16992426    ,0.8629874  ,0.5850009
c2B1ghS1fOE,fe24628d ,person                           ,95.76       ,0.3619747    ,0.16575935    ,0.42594698 ,0.34898886
c2B1ghS1fOE,fe24628d ,person                           ,95.88       ,0.3624992    ,0.16389167    ,0.42578155 ,0.34583813
c2B1ghS1fOE,fe24628d ,person                           ,96.0        ,0.36326027   ,0.15848032    ,0.4265416  ,0.3404249
c2B1ghS1fOE,fe24628d ,person                           ,96.12       ,0.36304495   ,0.1467287     ,0.43157476 ,0.3514992
c2B1ghS1fOE,fe24628d ,person                           ,96.24       ,0.36376712   ,0.14527479    ,0.43250084 ,0.35077226
c2B1ghS1fOE,fe24628d ,person                           ,96.36       ,0.36492604   ,0.14324397    ,0.43367487 ,0.34879535
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.0        ,0.60645497   ,0.8854699     ,0.78960705 ,0.9994594
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.12       ,0.60275584   ,0.8822186     ,0.79060346 ,0.99999905
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.24       ,0.60044104   ,0.87877613    ,0.79099435 ,0.9999203
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.36       ,0.6005522    ,0.8765243     ,0.791172   ,0.9973801
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.48       ,0.6018877    ,0.8755657     ,0.7891954  ,0.9989235
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.6        ,0.6053246    ,0.8705238     ,0.785957   ,1.0
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.72       ,0.6059719    ,0.8629251     ,0.7833616  ,1.0
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.84       ,0.6050777    ,0.85794604    ,0.7858259  ,0.9991668
c2B1ghS1fOE,c52f0211 ,packaged goods                   ,96.96       ,0.6065607    ,0.85182524    ,0.7831118  ,0.9997566
c2B1ghS1fOE,96b3bd41 ,packaged goods                   ,96.24       ,0.75645393   ,0.8697938     ,0.882685   ,1.0
c2B1ghS1fOE,0d6965ac ,packaged goods                   ,96.72       ,0.42949182   ,0.88029647    ,0.627959   ,0.9987946
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.08       ,0.27787274   ,0.5970489     ,0.4443206  ,0.9893214
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.2        ,0.2929422    ,0.550387      ,0.44640273 ,0.9862704
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.32       ,0.29861835   ,0.53616595    ,0.44999313 ,0.99332243
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.44       ,0.30333436   ,0.52514553    ,0.456882   ,0.9958174
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.56       ,0.30802807   ,0.5192981     ,0.46047223 ,0.99618673
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.68       ,0.32111022   ,0.5134634     ,0.4612111  ,0.99233085
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.8        ,0.3281006    ,0.50485796    ,0.46563628 ,0.9947619
c2B1ghS1fOE,ad06c7cb ,pants                            ,97.92       ,0.3331914    ,0.499969      ,0.4691951  ,0.99318707
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.04       ,0.3366927    ,0.49481702    ,0.47186363 ,0.996941
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.16       ,0.33993217   ,0.49751872    ,0.47298893 ,0.9950861
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.28       ,0.34092414   ,0.49647805    ,0.4790804  ,0.9983758
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.4        ,0.35273394   ,0.49963525    ,0.49412358 ,0.9988121
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.52       ,0.3610925    ,0.50389546    ,0.50608313 ,0.9991207
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.64       ,0.36361343   ,0.50599664    ,0.5123766  ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.76       ,0.36489397   ,0.51531476    ,0.5136926  ,0.9987066
c2B1ghS1fOE,ad06c7cb ,pants                            ,98.88       ,0.3661984    ,0.5155646     ,0.51486623 ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.0        ,0.36819005   ,0.5186068     ,0.51498145 ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.12       ,0.3624458    ,0.52270764    ,0.5172299  ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.24       ,0.3619739    ,0.5211969     ,0.51593876 ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.36       ,0.36021897   ,0.52070755    ,0.51405144 ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.48       ,0.36122754   ,0.51914895    ,0.514202   ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.6        ,0.37326327   ,0.5183183     ,0.51371527 ,1.0
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.72       ,0.37727395   ,0.522942      ,0.5137623  ,0.99511397
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.84       ,0.37805092   ,0.52230245    ,0.5134007  ,0.998678
c2B1ghS1fOE,ad06c7cb ,pants                            ,99.96       ,0.37821564   ,0.5242775     ,0.51223254 ,0.9994305
c2B1ghS1fOE,ad06c7cb ,pants                            ,100.08      ,0.3774264    ,0.52672267    ,0.5113421  ,0.9997343
c2B1ghS1fOE,ad06c7cb ,pants                            ,100.2       ,0.37709826   ,0.5262639     ,0.511484   ,1.0
